id,title,author,year_of_publication,publisher,,,
2856,BORDERS OF INFINITY,Lois McMaster Bujold,1989,Baen,,,
2857,ICE WARRIOR,Richard Parry,1991,Pocket,,,
2858,Thing of Beauty,Stephen Fried,1994,Pocket,,,
2859,ROSY'S ROMANCE,Sheila Greenwald,1990,Aladdin,,,
2860,And Then There Were None,Agatha Christie,1989,Pocket Books,,,
2861,A Knight in Shining Armor,Jude Deveraux,1990,Pocket,,,
2862,Easy to Kill,Agatha Christie,1991,Pocket Books,,,
2863,Seven Habits Of Highly Effective People,Stephen R. Covey,1990,Free Press,,,
2864,BLACK THRONE,Roger Zelazny,1990,Baen,,,
2865,ROIL OF STARS,Don Wismer,1991,Baen,,,
2866,Generation Warriors,Anne McCaffrey,1991,Baen,,,
2867,"The New Hugo Winners, Vol. 2",Isaac Asimov,1991,Baen,,,
2868,The Deed of Paksenarrion,Elizabeth Moon,1992,Baen,,,
2869,The Ship Who Searched,Anne McCaffrey,1992,Baen,,,
2870,Wheels Of Fire (Serrated Edge 2),Mercedes Lackey,1992,Baen,,,
2871,"The Honor of the Queen (Honor Harrington Series, Book 2)",David Weber,1993,Baen,,,
2872,King Lear,William Shakespeare,1993,Washington Square Press,,,
2873,Othello,William Shakespeare,1993,Washington Square Press,,,
2874,TWELFTH NIGHT,William Shakespeare,1993,Washington Square Press,,,
2875,CUCKOO'S EGG,Clifford Stoll,1990,Pocket,,,
2876,Wildest Hearts,Jayne Ann Krentz,1993,Pocket,,,
2877,The Ultimate Maze Book,David Anson Russo,1991,Simon &amp Schuster,,,
2878,The Dead Sea Scrolls Deception,Michael Baigent,1992,Simon &amp Schuster,,,
2879,Lost Lady,Jude Deveraux,1991,Pocket,,,
2880,EVIL ONE (PHANTOM VALLEY 1) : EVIL ONE (Phantom Valley),Lynn Beach,1991,Aladdin,,,
2881,SCREAM OF THE CAT (PHANTOM VALLEY ) : SCREAM OF THE CAT,Lynn Beach,1992,Aladdin,,,
2882,Tender Triumph (Sonnet Books),Judith McNaught,1991,Pocket,,,
2883,Success Through a Positive Mental Attitude,W. Stone,1991,Pocket,,,
2884,"Dreams of the Raven (Star Trek, No 34)",Carmen Carter,1991,Star Trek,,,
2885,AUTOBIOGRAPHY OF FBI SPECIAL AGENT DALE COOPER,Dale Cooper,1991,Pocket,,,
2886,SO LONG AND THANKS FOR ALL THE FISH (Hitchhiker's Trilogy (Paperback)),Douglas Adams,1991,Pocket,,,
2887,First Evil (Fear Street Cheerleaders 1) : First Evil,R.L. Stine,1992,Simon Pulse,,,
2888,Prize the Epic Quest for Oil Money and Pow,Daniel Yergin,1991,Pocket Books,,,
2889,"Loves Music, Loves to Dance",Mary Higgins Clark,1992,Pocket,,,
2890,She's Come Undone,Wally Lamb,1993,Pocket Books,,,
2891,Pearl in the Mist (Landry),V.C. Andrews,1994,Pocket,,,
2892,Soul Survivors: A New Beginning for Adults Abused As Children (Fireside),J. Patrick Gannon,1992,Simon &amp Schuster,,,
2893,If You Really Loved Me,Ann Rule,1992,Pocket,,,
2894,A RIVER RUNS THROUGH IT AND OTHER STORIES : AND OTHER STORIES,Norman Maclean,1992,Pocket,,,
2895,Letters from Cicely,Ellis Weiner,1992,Pocket,,,
2896,Border Bride,Arnette Lamb,1993,Pocket,,,
2897,Possessing the Secret of Joy,Alice Walker,1993,Pocket,,,
2898,All Around the Town,Mary Higgins Clark,1993,Pocket Star,,,
2899,"A Fever in the Heart : Ann Rule's Crime Files, Volume III",Ann Rule,1996,Pocket,,,
2900,ROGUE WARRIOR: ROGUE WARRIOR I  (PAPERBACK),Richard Marcinko,1993,Pocket,,,
2901,NEVERMORE,Harold Schechter,1999,Atria,,,
2902,JUDY GARLAND,Anne E. Edwards,1975,Pocket,,,
2903,WLD ACCORDNG GARP,John Irving,1979,Pocket,,,
2904,STARCHILD TRILOGY,Frederik Pohl,1978,Pocket,,,
2905,DANGEROUS GAMES,Marta Randall,1980,Pocket,,,
2906,BK DUN COW,Walter Wangerin,1979,Pocket,,,
2907,REAL GUIDE: CALIFORNIA AND THE WEST COAST (The Real guides),LTD,1993,John Wiley &amp Sons Inc,,,
2908,WAITING TO EXHALE,Terry McMillan,1993,Pocket,,,
2909,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992,Star Trek,,,
2910,Moonlight Becomes You,Mary Higgins Clark,1997,Pocket,,,
2911,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket,,,
2912,The Lottery Winner : Alvirah And Willy Stories,Mary Higgins Clark,1995,Pocket,,,
2913,The Enchanted April,Elizabeth von Arnim,1993,Pocket,,,
2914,And Never Let Her Go : Thomas Capano: The Deadly Seducer,Ann Rule,2000,Pocket,,,
2915,PLEADING GUILTY,Scott Turow,1993,Audioworks,,,
2916,LIFE AFTER GOD : LIFE AFTER GOD,Douglas Coupland,1995,Washington Square Press,,,
2917,"The Short Victorious War (Honor Harrington Series, Book 3)",David Weber,1994,Baen,,,
2918,Pigs Don't Fly,Mary Brown,1994,Baen,,,
2919,Master of Many Treasures,Mary Brown,1995,Baen,,,
2920,"SILVERHAND: ARCANA BOOK I (Llywelyn, Morgan. Arcana, Bk. 1.)",Morgan Llywelyn,1996,Baen,,,
2921,"Silverlight: The Arcana, Book II (Arcana/Morgan Llywelyn, Bk 2)",Morgan Llywelyn,1996,Baen,,,
2922,Kitchen,Banana Yoshimoto,1994,Washington Square Press,,,
2923,COUNTERFEIT CHRISTMAS (NANCY DREW FILES 102) : COUNTERFEIT CHRISTMAS (Nancy Drew Files (Paperback)),Carolyn Keene,1994,Simon Pulse,,,
2924,HEART OF ICE (NANCY DREW FILES 103) : HEART OF ICE (Nancy Drew Files (Paperback)),Carolyn Keene,1995,Simon Pulse,,,
2925,KISS AND TELL (NANCY DREW FILES 104) : KISS AND TELL,Carolyn Keene,1995,Simon Pulse,,,
2926,STOLEN AFFECTIONS (NANCY DREW FILES 105) : STOLEN AFFECTIONS,Carolyn Keene,1995,Simon Pulse,,,
2927,ANYTHING FOR LOVE (NANCY DREW FILES 107) : ANYTHING FOR LOVE (Nancy Drew Files (Paperback)),Carolyn Keene,1995,Simon Pulse,,,
2928,"Lame Deer, Seeker of Visions",Richard Erdoes,1994,Pocket,,,
2929,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,,,
2930,Step-By-Step Tai Chi,Master Lam Kam-Chuen,1994,Fireside,,,
2931,Crossover (Star Trek: The Next Generation),Michael Jan Friedman,1996,Star Trek,,,
2932,Fast Forward,Judy Mercer,1997,Pocket,,,
2933,The Last Best Hope of Earth: Abraham Lincoln and the Promise of America,"Mark E., Jr. Neely",1993,Harvard University Press,,,
2934,Women on the Margins: Three Seventeenth-Century Lives,Natalie Zemon Davis,1997,Belknap Press,,,
2935,Atonement,Ian McEwan,2002,Random House,,,
2936,"Fodor's Exploring London, 4th Edition (Fodor's Exploring London)",Christopher Catling,2000,Fodor's,,,
2937,Hiking a Celebration of the Sport and the World's Best Places to Enjoy It (Fodor's sports),Cindy Ross,1992,Random House Inc,,,
2938,"Fodor's 97 Walt Disney World, Universal Studios and Orlando (Fodor's)",Alison Stern,1996,Fodor's Travel Publications,,,
2939,Going down swinging,Billie Livingston,1999,Random House Canada,,,
2940,"The Lion, the Fox and the Eagle",CAROL OFF,2001,Vintage Canada,,,
2941,Uh-Oh: Some Observations from Both Sides of the Refrigerator Door,Robert Fulghum,1991,Random House Inc,,,
2942,The Hellfire Club,Peter Straub,1996,Random House Inc,,,
2943,Millroy the Magician,Paul Theroux,1994,Random House Inc,,,
2944,Dreaming in Cuban,Cristina Garcia,1992,Alfred A. Knopf,,,
2945,Lolita (Everyman's Library (Cloth)),VLADIMIR NABOKOV,1993,Everyman's Library,,,
2946,The End of the Pier,Martha Grimes,1992,Random House Inc,,,
2947,Where the Suckers Moon: An Advertising Story,Randall Rothenberg,1994,Alfred A. Knopf,,,
2948,The Alienist,Caleb Carr,1994,Random House,,,
2949,Nothin' but Good Times Ahead,Molly Ivins,1993,Random House Inc,,,
2950,A Dangerous Place: California's Unsettling Fate (Images of America),Marc Reisner,2003,Pantheon Books,,,
2951,Nicholas Nickleby (Everyman's Library),Charles Dickens,1993,Alfred A. Knopf,,,
2952,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,Random House,,,
2953,Standing in the Rainbow : A Novel,FANNIE FLAGG,2002,Random House,,,
2954,Wouldn't Take Nothing for My Journey Now,MAYA ANGELOU,1993,Random House,,,
2955,Chic Simple: Scarves (Chic Simple Components),Kim Johnson Gross,1993,Alfred A. Knopf,,,
2956,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House,,,
2957,Range of Motion,Elizabeth Berg,1995,Random House Inc,,,
2958,Ladder of Years,Anne Tyler,1995,Random House Inc,,,
2959,The Reader,Bernhard Schlink,1997,Random House,,,
2960,Airframe,Michael Crichton,1996,Alfred A. Knopf,,,
2961,The Orchid Thief,SUSAN ORLEAN,1998,Random House,,,
2962,Primary Colors: A Novel of Politics,Anonymous,1996,Random House Inc,,,
2963,Gone Bamboo,Anthony Bourdain,1997,Random House Inc,,,
2964,The Amazing Adventures of Kavalier &amp Clay: A Novel,Michael Chabon,2000,Random House,,,
2965,Dark Lady,Richard North Patterson,1999,Alfred A. Knopf,,,
2966,Protect and Defend,Richard North Patterson,2000,Random House Inc,,,
2967,I Was Amelia Earhart,Jane Mendelsohn,1996,Random House Inc,,,
2968,Asylum,Patrick McGrath,1997,Random House Inc,,,
2969,Lucky You,Carl Hiaasen,1997,Random House Inc,,,
2970,Sick Puppy,Carl Hiaasen,2000,Alfred A. Knopf,,,
2971,The God of Small Things,Arundhati Roy,1997,Random House Inc,,,
2972,Billy Straight: A Novel,Jonathan Kellerman,1999,Random House Trade,,,
2973,Flesh and Blood,Jonathan Kellerman,2001,Random House,,,
2974,The Cider House Rules: A Novel (Modern Library),John Irving,1999,Modern Library,,,
2975,Mama Day (Vintage Contemporaries),Gloria Naylor,1989,Vintage Books USA,,,
2976,Where I'm Calling from: New and Selected Stories (Vintage Contemporaries),Raymond Carver,1989,Vintage Books USA,,,
2977,The Maltese Falcon (Vintage Crime/Black Lizard),DASHIELL HAMMETT,1989,Vintage,,,
2978,Double Indemnity (Vintage Crime/Black Lizard),James M. Cain,1989,Vintage,,,
2979,Manifold Destiny: The One! the Only! Guide to Cooking on Your Car Engine,Chris Maynard,1989,Villard Books,,,
2980,Pale Fire: A Novel (Vintage International),Vladimir Vladimirovich Nabokov,1989,Vintage Books USA,,,
2981,No Exit and Three Other Plays (Vintage International),Jean Paul Sartre,1989,Vintage Books USA,,,
2982,The House of Mirth (Library of America),Edith Wharton,1990,Vintage Books USA,,,
2983,The Brothers Karamazov (Vintage Classics),Fyodor Dostoyevsky,1991,Vintage Books USA,,,
2984,The Best of Roald Dahl,Roald Dahl,1990,Vintage Books USA,,,
2985,A Year in Provence,Peter Mayle,1991,Vintage Books USA,,,
2986,The Sound and the Fury (Vintage International),WILLIAM FAULKNER,1991,Vintage,,,
2987,Invisible Man,Ralph Ellison,1995,Vintage Books USA,,,
2988,"A Midwife's Tale : The Life of Martha Ballard, Based on Her Diary, 1785-1812",LAUREL THATCHER ULRICH,1991,Vintage,,,
2989,Sisters of the Earth: Women's Prose and Poetry About Nature,Lorraine Anderson,1991,Vintage Books USA,,,
2990,Killing Mister Watson,Peter Matthiessen,1991,Vintage Books USA,,,
2991,The House on Mango Street (Vintage Contemporaries),SANDRA CISNEROS,1991,Vintage,,,
2992,"Sex, Art, and American Culture: Essays",Camille Paglia,1992,Vintage Books USA,,,
2993,Writers Dreaming: 26 Writers Talk About Their Dreams and the Creative Process,Naomi Epel,1994,Vintage Books USA,,,
2994,"Molly Ivins Can't Say That, Can She?",Molly Ivins,1992,Vintage Books USA,,,
2995,The Informers,BRET EASTON ELLIS,1995,Vintage,,,
2996,Hard-Boiled Wonderland and the End of the World: A Novel (Vintage International),Haruki Murakami,1993,Vintage Books USA,,,
2997,Written on the Body,Jeanette Winterson,1994,Vintage Books USA,,,
2998,In Cold Blood (Vintage International),TRUMAN CAPOTE,1994,Vintage,,,
2999,"Other Voices, Other Rooms (Vintage International)",Truman Capote,1994,Vintage Books USA,,,
3000,Breakfast at Tiffany's: And Three Stories (First Vintage International),Truman Capote,1993,Vintage Books USA,,,
3001,The Man on the Balcony: The Story of a Crime (Vintage Crime/Black Lizard),Maj Sjowall,1993,Vintage Books USA,,,
3002,"Girl, Interrupted",SUSANNA KAYSEN,1994,Vintage,,,
3003,The Kitchen God's Wife (Vintage Contemporaries),Amy Tan,1993,Vintage Books USA,,,
3004,Race Matters,Cornel West,1994,Vintage Books USA,,,
3005,Angels &amp Insects : Two Novellas,A.S. BYATT,1994,Vintage,,,
3006,Mama Makes Up Her Mind: And Other Dangers of Southern Living,Bailey White,1994,Vintage Books USA,,,
3007,An Anthropologist on Mars: Seven Paradoxical Tales,Oliver W. Sacks,1996,Vintage Books USA,,,
3008,A Natural History of Love,Diane Ackerman,1995,Vintage Books USA,,,
3009,Incidents in the Rue Laugier (Vintage Contemporaries),Anita Brookner,1997,Vintage Books USA,,,
3010,Push,Sapphire,1997,Vintage Books USA,,,
3011,"South of the Border, West of the Sun",Haruki Murakami,2000,Vintage Books USA,,,
3012,Lost in Place: Growing Up Absurd in Suburbia,Mark Salzman,1996,Vintage Books USA,,,
3013,Heartburn,Nora Ephron,1996,Vintage Books USA,,,
3014,Italy in Mind: An Anthology (Vintage Departures),Alice Leccese Powers,1997,Vintage Books USA,,,
3015,The Law of Similars,CHRIS BOHJALIAN,2000,Vintage,,,
3016,George Foreman's Knock-Out-The-Fat Barbecue and Grilling Cookbook,George Foreman,1996,Villard Books,,,
3017,A Civil Action,JONATHAN HARR,1996,Vintage,,,
3018,"The Game of Kings (Lymond Chronicles, 1)",DOROTHY DUNNETT,1997,Vintage,,,
3019,Alanna: The First Adventure (Song of the Lioness (Paperback)),Tamora Pierce,1989,Random House Children's Books,,,
3020,Magic Elizabeth,Norma Kassirer,1990,Random House Childrens Books,,,
3021,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991,Laurel Leaf,,,
3022,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995,Laurel Leaf,,,
3023,"Junie B. Jones and That Meanie Jim's B-Day (Junie B. Jones 6, paper)",Barbara Park,1996,Random House Children's Books,,,
3024,"Mr. Brown Can Moo, Can You : Dr. Seuss's Book of Wonderful Noises (Bright and Early Board Books)",Seuss,1996,Random House Children's Books,,,
3025,D. W.'S Color Book,MARC BROWN,1997,Random House Books for Young Readers,,,
3026,The Random House Book of Horse Stories,Felicity Trotman,1997,Random House Children's Books,,,
3027,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1998,Knopf Books for Young Readers,,,
3028,Have Spacesuit Will Travel,Robert Heinlein,1977,Macmillan Pub Co,,,
3029,The SKULL BENEATH THE SKIN,P. D. James,1982,Scribner,,,
3030,NEW SHOE,Arthur William Upfield,1983,Scribner Paper Fiction,,,
3031,State of Grace,Joy Williams,1986,Scribner Book Company,,,
3032,ALL THAT REMAINS,Patricia Cornwell,1992,Scribner,,,
3033,I And Thou,Martin Buber,1971,Free Press,,,
3034,Cry the Beloved Country,Alan Paton,1990,Simon Schuster Trade,,,
3035,OLD MAN AND THE SEA,Ernest Hemingway,1995,Scribner,,,
3036,Farewell To Arms,Ernest Hemingway,1995,Scribner,,,
3037,FLOOD TIDE,Clive Cussler,1997,Simon &amp Schuster,,,
3038,Moral Compass : Stories for a Life's Journey,William J. Bennett,1995,Simon &amp Schuster,,,
3039,Messiah,Andrei Codrescu,1999,Simon &amp Schuster Books,,,
3040,MOONLIGHT BECOMES YOU,Mary Higgins Clark,1996,Simon &amp Schuster,,,
3041,Lies My Teacher Told Me : Everything Your American History Textbook Got Wrong,James W. Loewen,1996,Touchstone,,,
3042,"A Beautiful Mind : A Biography of John Forbes Nash, Jr.",Sylvia Nasar,1998,Simon &amp Schuster,,,
3043,Ramses the Son of Light,Christian Jacq,0,Simon Schuster Trade,,,
3044,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans",Pam Proctor,1996,Fireside,,,
3045,Mere Christianity,C. S. Lewis,1996,Simon &amp Schuster,,,
3046,OUT OF THE SILENT PLANET,C.S. Lewis,1996,Scribner,,,
3047,REEF,Edith Wharton,1996,Scribner,,,
3048,On Her Own Ground : The Life and Times of Madam C.J. Walker,A'Lelia Bundles,2001,Scribner,,,
3049,CRUDDY : An Illustrated Novel,Lynda Barry,1999,Simon &amp Schuster,,,
3050,The Vision of Emma Blau,Ursula Hegi,2000,Simon &amp Schuster,,,
3051,DANCING AT THE RASCAL FAIR,Ivan Doig,1996,Scribner,,,
3052,ACCORDION CRIMES,Annie Proulx,1997,Scribner,,,
3053,"MY GAL SUNDAY LARGE PRINT : \""Henry and Sunday\"" Stories",Mary Higgins Clark,1996,Simon &amp Schuster,,,
3054,Catch 22,Joseph Heller,1996,Simon &amp Schuster,,,
3055,A Separate Peace (Scribner Classics),John Knowles,1996,Scribner,,,
3056,Before I Say Good-Bye : A Novel,Mary Higgins Clark,2000,Simon &amp Schuster,,,
3057,250 Things You Can Do to Make Your Cat Adore You,Ingrid Newkirk,1998,Fireside,,,
3058,Apocalypse Wow,James Finn Garner,1997,Simon &amp Schuster,,,
3059,ONE DAY MY SOUL JUST OPENED UP : 40 DAYS AND 40 NIGHTS TOWARD SPIRITUAL STRENGTH AND PERSONAL GROWTH,Iyanla Vanzant,1998,Fireside,,,
3060,Pilgrim Souls : A Collection of Spiritual Autobiography,Elizabeth Powers,1999,Touchstone,,,
3061,STONES FROM THE RIVER,Ursula Hegi,1997,Simon &amp Schuster,,,
3062,IN THE LAND OF MEN: STORIES,Antonya Nelson,1999,Scribner,,,
3063,People of the Lie,M. Scott Peck,1998,Touchstone,,,
3064,Tis : A Memoir,Frank McCourt,1999,Scribner,,,
3065,The BIBLE CODE,Michael Drosnin,1998,Touchstone,,,
3066,The Wasp Factory: A Novel,Iain Banks,1998,Simon &amp Schuster,,,
3067,A Mind of Its Own: A Cultural History of the Penis,David M. Friedman,2001,Free Press,,,
3068,Hearts In Atlantis : New Fiction,Stephen King,1999,Scribner,,,
3069,"A BEAUTIFUL MIND: A Biography of John Forbes Nash, Jr., Winner of the Nobel Prize in Economics, 1994",Sylvia Nasar,1999,Simon &amp Schuster,,,
3070,Santa Pete : A Novel Of Christmas Present And Past,Christopher Moore,1998,Simon &amp Schuster,,,
3071,My Sister from the Black Lagoon : A Novel of My Life,Laurie Fox,1999,Simon &amp Schuster,,,
3072,The Rum Diary : A Novel,Hunter S. Thompson,1999,Simon &amp Schuster,,,
3073,Lucky,Alice Sebold,1999,Scribner,,,
3074,SINGLE &amp SINGLE,John le Carre,1999,Scribner,,,
3075,Transformation Soup : Healing for the Splendidly Imperfect,Sark,2000,Fireside,,,
3076,Eat Mangoes Naked : Finding Pleasure Everywhere (and dancing with the Pits),Sark,2001,Fireside,,,
3077,The DREAMS OUR STUFF IS MADE OF: How Science Fiction Conquered the World,Thomas M. Disch,2000,Free Press,,,
3078,Pay It Forward: A Novel,Catherine Ryan Hyde,2000,Simon &amp Schuster,,,
3079,GARDENS IN THE DUNES: A Novel,Leslie Marmon Silko,2000,Simon &amp Schuster,,,
3080,LAKE NEWS : A Novel,Barbara Delinsky,1999,Simon &amp Schuster,,,
3081,This is My Daughter: A Novel,Roxana Robinson,1999,Touchstone,,,
3082,Pure Poetry: A Novel,Binnie Kirshenbaum,2000,Simon &amp Schuster,,,
3083,The Vineyard : A Novel,Barbara Delinsky,2000,Simon &amp Schuster,,,
3084,Tis: A Memoir,Frank McCourt,2000,Scribner,,,
3085,"Move Your Stuff, Change Your Life : How to Use Feng Shui to Get Love, Money, Respect and Happiness",Karen Rauch Carter,2000,Fireside,,,
3086,"Comrades : Brothers, Fathers, Heroes, Sons, Pals",Stephen E. Ambrose,1999,Simon &amp Schuster,,,
3087,Dead Reckoning: The New Science of Catching Killers,Michael Baden,2001,Simon &amp Schuster,,,
3088,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner,,,
3089,The Looking Glass : A Novel (The Locket Series),Richard Paul Evans,1999,Simon &amp Schuster,,,
3090,The Carousel : A Novel,Richard Paul Evans,2000,Simon &amp Schuster,,,
3091,The Courtship Gift: A Novel,Julie Parsons,2000,Simon &amp Schuster,,,
3092,Germs : Biological Weapons and America's Secret War,Judith Miller,2001,Simon &amp Schuster,,,
3093,Angela's Ashes (MMP) : A Memoir,Frank McCourt,1999,Scribner,,,
3094,Flesh And Blood,Michael Cunningham,1996,Touchstone,,,
3095,ANGELA'S ASHES,Frank McCourt,1996,Scribner,,,
3096,The Blue Sword,Robin McKinley,1982,Greenwillow,,,
3097,The Dinosaur Heresies: New Theories Unlocking the Mystery of the Dinosaurs and Their Extinction,Robert T. Bakker,1986,William Morrow &amp Company,,,
3098,Thinking on paper,V. A Howard,1986,W. Morrow,,,
3099,"Grand Tours and Cook's Tours: A History of Leisure Travel, 1750-1915",Lynne Withey,1997,Harpercollins,,,
3100,Starlings Laughing: A Memoir of Africa,June Vendall Clark,1991,Harpercollins,,,
3101,Doll's Eyes,Bari Wood,1993,William Morrow &amp Company,,,
3102,Running from Safety: An Adventure of the Spirit,Richard Bach,1994,Harpercollins,,,
3103,"Lucy Forever and Miss Rosetree, Shrinks",Susan Richards Shreve,1996,HarperTrophy,,,
3104,Babyhood,Paul Reiser,1997,William Morrow &amp Company,,,
3105,"The Rise and Fall of the House of Barneys: A Family Tale of Chutzpah, Glory, and Greed",Joshua Levine,1999,William Morrow &amp Company,,,
3106,Jupiter's Bones: A Novel (Peter Decker &amp Rina Lazarus Novels (Hardcover)),Faye Kellerman,1999,Harpercollins,,,
3107,The Melancholy Death of Oyster Boy : and Other Stories,Tim Burton,1997,HarperEntertainment,,,
3108,Waiting to Fly: My Escapades With the Penguins of Antarctica,Ron Naveen,1999,William Morrow &amp Company,,,
3109,The Watch House,Robert Westall,1998,HarperTrophy,,,
3110,Every Day's a Party : Louisiana Recipes For Celebrating With Family And Friends,Emeril Lagasse,1999,Morrow Cookbooks,,,
3111,We Are Our Mothers' Daughters,Cokie Roberts,2000,Perennial,,,
3112,Strange but True,John Searles,2004,William Morrow,,,
3113,Finding Fish: A Memoir,Antwone Quenton Fisher,2001,William Morrow &amp Company,,,
3114,Miss Julia Speaks Her Mind : A Novel,Ann B. Ross,2000,Perennial,,,
3115,Deadlines and Datelines,Dan Rather,2000,Perennial,,,
